Medida;Etapa_ensino;Ano;Docentes
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2013;29
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2014;31
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2015;21
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2016;23
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2017;12
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2018;14
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2019;13
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2020;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2021;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2022;22
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2007;75
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2008;70
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2009;67
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2010;83
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2011;78
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2012;68
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2013;63
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2014;49
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2015;39
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2016;31
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2017;45
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2018;29
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2019;20
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2020;15
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2021;26
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2022;38
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2007;75
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2008;70
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2009;67
